Raw Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Sample (Calib) (C1)
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
After Scope 1 / 1
Method Function,Calibration (Calibration1)
Sensor type,pH,
Unit,pH,
Sensor input,AB1/Sensor1,
Serial number,,
Calibration,Segmented,
Number of segments,2,
Zero point 1,6.897 pH,
Slope 1 (TCalib),-57.19 mV/pH,
Slope 1 (25.0 °C),-57.85 mV/pH,
Slope 1,97.79 %,
Segment limit 1, 2,7.014 pH,
Zero point 2,6.899 pH,
Slope 2 (TCalib),-58.47 mV/pH,
Slope 2 (25.0 °C),-59.14 mV/pH,
Slope 2,99.97 %,
Int. temp. sensor,No,
Calib. temperature,21.6 °C,
Calibration method,pH_calibration_7_4_10,
Date / Time,4/2/2018 9:50:20 AM,
Performed by,SystemInternal,
Mon. usable life,No,
Mon. life span,No,

Table of Measured Values
Task,T350
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Result,Measurenormal1
t,E,T
1,-6.7,21.4
2,-6.7,21.4
3,-6.6,21.4
4,-6.7,21.4
5,-6.7,21.4
6,-6.8,21.4
7,-6.7,21.4
8,-6.7,21.4
9,-6.7,21.4
10,-6.7,21.4
11,-6.7,21.4
12,-6.7,21.4
13,-6.7,21.4
14,-6.8,21.4
15,-6.7,21.4
16,-6.7,21.4
17,-6.7,21.4
18,-6.6,21.4
19,-6.6,21.4
20,-6.7,21.4
21,-6.7,21.4
22,-6.7,21.4
23,-6.7,21.4
24,-6.7,21.4
25,-6.7,21.4
26,-6.7,21.4
27,-6.6,21.4
28,-6.8,21.4
29,-6.7,21.4
30,-6.8,21.4
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Result,Measurenormal1
t,E,T
1,165.8,21.5
2,165.7,21.5
3,165.8,21.5
4,165.7,21.5
5,165.8,21.5
6,165.8,21.5
7,165.8,21.5
8,165.7,21.5
9,165.7,21.5
10,165.8,21.5
11,165.7,21.5
12,165.6,21.5
13,165.7,21.5
14,165.6,21.5
15,165.8,21.5
16,165.7,21.5
17,165.7,21.5
18,165.7,21.5
19,165.7,21.5
20,165.7,21.5
21,165.7,21.5
22,165.7,21.5
23,165.8,21.5
24,165.8,21.5
25,165.8,21.5
26,165.8,21.5
27,165.7,21.5
28,165.8,21.5
29,165.7,21.5
30,165.7,21.5
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Result,Measurenormal1
t,E,T
1,-183.6,21.5
2,-183.6,21.5
3,-183.6,21.5
4,-183.7,21.5
5,-183.7,21.5
6,-183.8,21.5
7,-183.7,21.5
8,-183.6,21.5
9,-183.6,21.5
10,-183.7,21.5
11,-183.7,21.5
12,-183.8,21.5
13,-183.8,21.5
14,-183.6,21.5
15,-183.8,21.5
16,-183.8,21.5
17,-183.8,21.5
18,-183.7,21.5
19,-183.8,21.5
20,-183.7,21.5
21,-183.6,21.5
22,-183.7,21.5
23,-183.8,21.5
24,-183.8,21.5
25,-183.8,21.5
26,-183.8,21.5
27,-183.7,21.5
28,-183.7,21.5
29,-183.8,21.5
30,-183.8,21.5
